population,split,k,model,n,positive_rate,mean_roc_auc,sd_roc_auc,ci_lo_seed42,ci_hi_seed42,mean_pr_auc
all_eligible,visitor-grouped,0,LR,43745.0,0.2688307235112584,0.6300878790617443,0.006488587872185505,0.6267027940371428,0.6516810100556332,0.377847895110342
all_eligible,visitor-grouped,0,XGB,43745.0,0.2688307235112584,0.6217580888864237,0.0064744476438330905,0.6193242788049896,0.644501941185278,0.39254724277657044
all_eligible,visitor-grouped,0,DT,43745.0,0.2688307235112584,0.645770756805029,0.0,,,0.4319291522621356
all_eligible,visitor-grouped,0,RF,43745.0,0.2688307235112584,0.581562113306631,0.0,,,0.37733410962499836
all_eligible,visitor-grouped,1,LR,19782.0,0.19689616823374786,0.5979860886661325,0.014498587567933858,0.5723290764212068,0.6166376295726125,0.27654514672841035
all_eligible,visitor-grouped,1,XGB,19782.0,0.19689616823374786,0.593446937587168,0.012816010074592297,0.5773325194530528,0.6205019104133853,0.27195242912963585
all_eligible,visitor-grouped,1,DT,19782.0,0.19689616823374786,0.5948840523805707,0.0,,,0.27032521067418375
all_eligible,visitor-grouped,1,RF,19782.0,0.19689616823374786,0.5960546332291332,0.0,,,0.2751857512150026
all_eligible,visitor-grouped,2,LR,12276.0,0.20682632779406973,0.6041887892025187,0.014078225287545416,0.564588075762828,0.6209190862097401,0.2956224143811595
all_eligible,visitor-grouped,2,XGB,12276.0,0.20682632779406973,0.5815968788839815,0.00673633111457819,0.5553905670635471,0.6100482334853218,0.27773624190216184
all_eligible,visitor-grouped,2,DT,12276.0,0.20682632779406973,0.5886448185785387,0.0,,,0.24617587584928186
all_eligible,visitor-grouped,2,RF,12276.0,0.20682632779406973,0.5952629631332672,0.0,,,0.26213659471299705
all_eligible,visitor-grouped,3,LR,8513.0,0.21144132503230353,0.6084682037749335,0.014117347206087488,0.5622664394572849,0.6279402094764089,0.3038676224984518
all_eligible,visitor-grouped,3,XGB,8513.0,0.21144132503230353,0.5670720672302978,0.013733790326008995,0.530809833465994,0.5939157614680269,0.2667245382008657
all_eligible,visitor-grouped,3,DT,8513.0,0.21144132503230353,0.5556867375049194,0.0,,,0.24736656664738316
all_eligible,visitor-grouped,3,RF,8513.0,0.21144132503230353,0.5674048694198647,0.0,,,0.2587103859410842
all_eligible,visitor-grouped,5,LR,4874.0,0.22035289290110793,0.5879190728129681,0.016088860655569987,0.5205548868639073,0.6023188232322152,0.2936580217526091
all_eligible,visitor-grouped,5,XGB,4874.0,0.22035289290110793,0.5538965394391716,0.010655747077763698,0.4963563585513595,0.5857818977788195,0.2663606082529937
all_eligible,visitor-grouped,5,DT,4874.0,0.22035289290110793,0.5574216429541885,0.0,,,0.280649685524061
all_eligible,visitor-grouped,5,RF,4874.0,0.22035289290110793,0.5575333925410092,0.0,,,0.27618873234029206
all_eligible,visitor-grouped,10,LR,1846.0,0.2313109425785482,0.5891622628091695,0.03328716432886755,0.5102195365141662,0.647111754124254,0.2995465673745764
all_eligible,visitor-grouped,10,XGB,1846.0,0.2313109425785482,0.580045136904754,0.039117779194988114,0.4966085085986656,0.6295794725774083,0.3043014091725851
all_eligible,visitor-grouped,10,DT,1846.0,0.2313109425785482,0.5800561797752809,0.0,,,0.3078167681784939
all_eligible,visitor-grouped,10,RF,1846.0,0.2313109425785482,0.5933350357507661,0.0,,,0.3321506733703731
all_eligible,temporal,0,LR,43745.0,0.2688307235112584,0.6414747882917408,0.0,0.6296428426683788,0.6544212534033675,0.38606359318926947
all_eligible,temporal,0,XGB,43745.0,0.2688307235112584,0.6325948791413694,0.0,0.619023751218392,0.6455734644162096,0.3967185978129294
all_eligible,temporal,0,DT,43745.0,0.2688307235112584,0.6466631287210293,0.0,,,0.3863186494909946
all_eligible,temporal,0,RF,43745.0,0.2688307235112584,0.5677471780034751,0.0,,,0.341561398117442
all_eligible,temporal,1,LR,19782.0,0.19689616823374786,0.6049696345703329,0.0,0.581566879640933,0.6277027550402112,0.26353460076516094
all_eligible,temporal,1,XGB,19782.0,0.19689616823374786,0.5960933627122803,0.0,0.5748681286103632,0.6184451635707076,0.25302934971855884
all_eligible,temporal,1,DT,19782.0,0.19689616823374786,0.5929902943365944,0.0,,,0.24164671848077093
all_eligible,temporal,1,RF,19782.0,0.19689616823374786,0.5872330486626113,0.0,,,0.24756935673647917
all_eligible,temporal,2,LR,12276.0,0.20682632779406973,0.595628661513113,0.0,0.5664734963324356,0.6231665223849774,0.2834372126007638
all_eligible,temporal,2,XGB,12276.0,0.20682632779406973,0.5852809348897079,0.0,0.5579492595845887,0.6149271282652677,0.26947314957825763
all_eligible,temporal,2,DT,12276.0,0.20682632779406973,0.5705611529651023,0.0,,,0.25522833174742576
all_eligible,temporal,2,RF,12276.0,0.20682632779406973,0.6005777523365586,0.0,,,0.27742935128862106
all_eligible,temporal,3,LR,8513.0,0.21144132503230353,0.5890005791346075,0.0,0.5546038376776963,0.6200823154561251,0.27992856575816527
all_eligible,temporal,3,XGB,8513.0,0.21144132503230353,0.5424547034003475,0.0,0.5067648713651144,0.57527244512722,0.257828544782049
all_eligible,temporal,3,DT,8513.0,0.21144132503230353,0.5693286175229586,0.0,,,0.2621484482485878
all_eligible,temporal,3,RF,8513.0,0.21144132503230353,0.5784551584346819,0.0,,,0.25487972422122457
all_eligible,temporal,5,LR,4874.0,0.22035289290110793,0.5804651162790697,0.0,0.5359048677201182,0.6223324495259452,0.28662954661468565
all_eligible,temporal,5,XGB,4874.0,0.22035289290110793,0.6057221542227662,0.0,0.56019292197222,0.6501839587372243,0.3056287395000836
all_eligible,temporal,5,DT,4874.0,0.22035289290110793,0.5839932680538555,0.0,,,0.2780719663374875
all_eligible,temporal,5,RF,4874.0,0.22035289290110793,0.5999877600979192,0.0,,,0.294910594209213
all_eligible,temporal,10,LR,1846.0,0.2313109425785482,0.5792476102374344,0.0,0.5196624573062666,0.6477373932826719,0.3323006187710904
all_eligible,temporal,10,XGB,1846.0,0.2313109425785482,0.6065757015109466,0.0,0.5425891365176186,0.6691227584797654,0.3763650268560055
all_eligible,temporal,10,DT,1846.0,0.2313109425785482,0.5834296947271046,0.0,,,0.3057706222635602
all_eligible,temporal,10,RF,1846.0,0.2313109425785482,0.6125308356460069,0.0,,,0.3735199317847205
