population,split,k,model,n,positive_rate,mean_roc_auc,sd_roc_auc,ci_lo_seed42,ci_hi_seed42,mean_pr_auc
fixed_cohort,visitor-grouped,0,LR,1846.0,0.2313109425785482,0.5405919463059136,0.03325171452099205,0.4237777771302804,0.5655663595929253,0.29068948654101084
fixed_cohort,visitor-grouped,0,XGB,1846.0,0.2313109425785482,0.5354368357249175,0.02568423791881838,0.46165219091827187,0.5952941701644252,0.2711197135054594
fixed_cohort,visitor-grouped,0,DT,1846.0,0.2313109425785482,0.5080226421518557,0.0,,,0.25372085904869696
fixed_cohort,visitor-grouped,0,RF,1846.0,0.2313109425785482,0.531473442288049,0.0,,,0.2767201315490802
fixed_cohort,visitor-grouped,1,LR,1846.0,0.2313109425785482,0.5794073740018775,0.035158913856724136,0.4872566136537089,0.6248114072712418,0.301602789961594
fixed_cohort,visitor-grouped,1,XGB,1846.0,0.2313109425785482,0.5343838828724997,0.04076013237056529,0.4454663426685039,0.5836047366978696,0.26540114090355027
fixed_cohort,visitor-grouped,1,DT,1846.0,0.2313109425785482,0.542624276472591,0.0,,,0.26729845806902275
fixed_cohort,visitor-grouped,1,RF,1846.0,0.2313109425785482,0.55539240721825,0.0,,,0.30800651638907367
fixed_cohort,visitor-grouped,2,LR,1846.0,0.2313109425785482,0.5835299219544441,0.03602846142273393,0.4851601275674943,0.625154701296886,0.30236614267726536
fixed_cohort,visitor-grouped,2,XGB,1846.0,0.2313109425785482,0.5376646014596386,0.03185474774923612,0.44336212193379376,0.5826148443060208,0.26664154240139104
fixed_cohort,visitor-grouped,2,DT,1846.0,0.2313109425785482,0.5313457609805925,0.0,,,0.2809241400226834
fixed_cohort,visitor-grouped,2,RF,1846.0,0.2313109425785482,0.5814819543752127,0.0,,,0.30211579834023217
fixed_cohort,visitor-grouped,3,LR,1846.0,0.2313109425785482,0.5697647417635828,0.029941884011114923,0.48908192156934777,0.6299929039566449,0.29963545910477074
fixed_cohort,visitor-grouped,3,XGB,1846.0,0.2313109425785482,0.5069298649788762,0.028148467546946873,0.441612097111904,0.5796666765227676,0.2568653276022558
fixed_cohort,visitor-grouped,3,DT,1846.0,0.2313109425785482,0.5308350357507661,0.0,,,0.2736827217808443
fixed_cohort,visitor-grouped,3,RF,1846.0,0.2313109425785482,0.5390704800817161,0.0,,,0.2816371387531783
fixed_cohort,visitor-grouped,5,LR,1846.0,0.2313109425785482,0.564978900552059,0.02989059765797875,0.476556061396035,0.6206702576835536,0.2913172289721492
fixed_cohort,visitor-grouped,5,XGB,1846.0,0.2313109425785482,0.5522124859004409,0.028794039109542896,0.501912705076462,0.6335091364603282,0.27054376524417945
