session_key,visitorid,event_count,view_count,addtocart_count,transaction_count,view_to_cart_ratio,unique_items_count,session_age_seconds,inter_event_interval_mean,recency_last_cart_seconds,has_transaction
1000057_3,1000057,3.0,1.0,1.0,1.0,1.0,1.0,494.17,247.084,494.17,1.0
100007_1,100007,5.0,3.0,2.0,0.0,1.5,2.0,51.89,12.973,14.36,0.0
1000093_1,1000093,6.0,4.0,1.0,1.0,4.0,2.0,1492.99,298.598,1357.73,1.0
1000093_4,1000093,4.0,2.0,1.0,1.0,2.0,2.0,387.92,129.308,101.21,1.0
1000103_1,1000103,4.0,3.0,1.0,0.0,3.0,2.0,1085.42,361.806,390.78,0.0
100012_1,100012,3.0,1.0,1.0,1.0,1.0,1.0,315.92,157.957,310.72,1.0
1000169_1,1000169,4.0,3.0,1.0,0.0,3.0,1.0,66.88,22.294,38.4,0.0
100020_1,100020,5.0,3.0,1.0,1.0,3.0,2.0,708.97,177.243,659.47,1.0
1000248_2,1000248,3.0,1.0,1.0,1.0,1.0,1.0,323.53,161.766,275.38,1.0
1000306_13,1000306,6.0,5.0,1.0,0.0,5.0,5.0,3763.75,752.75,3763.75,0.0
1000306_14,1000306,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000306_37,1000306,11.0,10.0,1.0,0.0,10.0,4.0,756.2,75.62,575.12,0.0
1000306_38,1000306,2.0,1.0,1.0,0.0,1.0,1.0,3.36,3.364,0.0,0.0
1000306_40,1000306,4.0,3.0,1.0,0.0,3.0,2.0,636.32,212.107,618.36,0.0
1000306_59,1000306,3.0,1.0,2.0,0.0,0.5,2.0,815.46,407.732,0.0,0.0
1000306_69,1000306,2.0,1.0,1.0,0.0,1.0,1.0,6.14,6.14,0.0,0.0
1000306_75,1000306,3.0,1.0,2.0,0.0,0.5,2.0,31.41,15.706,0.0,0.0
1000306_76,1000306,5.0,4.0,1.0,0.0,4.0,4.0,1748.57,437.142,1746.69,0.0
1000306_81,1000306,2.0,1.0,1.0,0.0,1.0,1.0,0.19,0.188,0.0,0.0
1000306_85,1000306,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1000306_87,1000306,2.0,1.0,1.0,0.0,1.0,1.0,1.96,1.955,0.0,0.0
